Category,Quantity,References,Value,Stock Code,Unit Cost,ROHS Compliant,Image 
Capacitors,3,"C1-C2,C4",10u,Digikey 495-2238-2-ND,TSh200.00,,
Capacitors,2,"C3,C5",10pF,Digikey PCC100CNCT-ND,TSh200.00,,
Resistors,2,"R1,R4",10K,Digikey P10KZTR-ND,TSh200.00,,
Resistors,1,R2,5K,Digikey P10KZTR-ND,TSh200.00,,
Resistors,1,R3,6K,Digikey P10KZTR-ND,TSh200.00,,
Resistors,1,R6,300?,Digikey RT0805WRB07300RL-ND,TSh200.00,,
Integrated Circuits,1,U2,"LM1117DT-3,3",,"TSh3,000.00",,
Integrated Circuits,1,U4,ESP32S3R8,,"TSh35,000.00",,
Diodes,1,D3,1N4007 SMD,,TSh200.00,,
Diodes,1,D5,LED SMD,,TSh200.00,,
Miscellaneous,1,CRYSTAL,SMD-3225_4P20MHZ20PF10PPM,,TSh500.00,,
Miscellaneous,5,"IO0,IO2,PU,RX,TX",TESTPAD,,TSh0.00,,
Miscellaneous,1,J3,SS52400002,,"TSh5,000.00",,
Miscellaneous,1,SMC1,EMMC16BGA,,"TSh5,000.00",,
